Date,Cash Price,Basis,Fall Price,Fall Basis
2001-10-31,4.08,-0.21,4.31,-0.25
2001-11-01,4.14,-0.21,4.35,-0.25
2001-11-02,4.13,-0.21,4.32,-0.25
2001-11-05,4.17,-0.25,4.33,-0.25
2001-11-06,4.11,-0.25,4.28,-0.25
2001-11-07,4.17,-0.25,4.31,-0.25
2001-11-08,4.13,-0.25,4.28,-0.25
2001-11-09,4.21,-0.24,4.35,-0.25
2001-11-12,4.24,-0.24,4.38,-0.25
2001-11-13,4.25,-0.21,4.36,-0.25
2001-11-14,4.27,-0.21,4.39,-0.25
2001-11-15,4.26,-0.21,4.36,-0.25
2001-11-16,4.32,-0.21,4.4,-0.25
2001-11-19,4.32,-0.21,4.4,-0.25
2001-11-20,4.28,-0.21,4.4,-0.25
2001-11-21,4.29,-0.21,4.4,-0.25
2001-11-23,4.3,-0.21,4.42,-0.25
2001-11-25,4.22,-0.14,4.24,-0.25
2001-11-26,4.22,-0.2,4.3,-0.25
2001-11-27,4.3,-0.14,4.32,-0.25
2001-11-29,4.23,-0.14,4.26,-0.25
2001-11-30,4.31,-0.14,4.36,-0.25
2001-12-03,4.34,-0.14,4.41,-0.25
2001-12-04,4.31,-0.14,4.37,-0.25
2001-12-05,4.29,-0.14,4.34,-0.25
2001-12-06,4.28,-0.14,4.33,-0.25
2001-12-07,4.32,-0.14,4.36,-0.25
2001-12-10,4.29,-0.14,4.34,-0.25
2001-12-11,4.24,-0.14,4.3,-0.25
2001-12-12,4.19,-0.14,4.26,-0.25
2001-12-13,4.21,-0.12,4.27,-0.25
2001-12-14,4.24,-0.12,4.27,-0.25
2001-12-17,4.25,-0.12,4.28,-0.25
2001-12-18,4.21,-0.11,4.22,-0.25
2001-12-19,4.25,-0.1,4.23,-0.25
2001-12-20,4.26,-0.1,4.21,-0.25
2001-12-21,4.26,-0.1,4.2,-0.25
2001-12-26,4.19,-0.1,4.15,-0.25
2001-12-27,4.18,-0.1,4.16,-0.25
2001-12-28,4.15,-0.1,4.13,-0.25
2001-12-31,4.11,-0.1,4.11,-0.25
2002-01-02,4.08,-0.1,4.05,-0.25
2002-01-03,4.14,-0.1,4.1,-0.25
2002-01-04,4.14,-0.1,4.14,-0.25
2002-01-07,4.2,-0.11,4.19,-0.25
2002-01-08,4.24,-0.11,4.22,-0.25
2002-01-09,4.29,-0.11,4.27,-0.25
2002-01-10,4.22,-0.11,4.2,-0.25
2002-01-11,4.32,-0.11,4.29,-0.25
2002-01-14,4.35,-0.12,4.32,-0.25
2002-01-15,4.34,-0.12,4.33,-0.25
2002-01-16,4.4,-0.12,4.39,-0.25
2002-01-17,4.39,-0.12,4.37,-0.25
2002-01-18,4.34,-0.12,4.35,-0.25
2002-01-22,4.27,-0.12,4.31,-0.23
2002-01-23,4.22,-0.12,4.26,-0.22
2002-01-24,4.25,-0.12,4.28,-0.22
2002-01-25,4.19,-0.12,4.22,-0.22
2002-01-28,4.19,-0.12,4.22,-0.22
2002-01-29,4.17,-0.12,4.22,-0.22
2002-01-30,4.16,-0.12,4.2,-0.22
2002-01-31,4.18,-0.13,4.22,-0.22
2002-02-01,4.14,-0.13,4.18,-0.22
2002-02-04,4.21,-0.13,4.24,-0.22
2002-02-05,4.21,-0.12,4.24,-0.22
2002-02-06,4.16,-0.12,4.2,-0.22
2002-02-07,4.2,-0.12,4.23,-0.22
2002-02-11,4.2,-0.11,4.21,-0.22
2002-02-12,4.25,-0.11,4.25,-0.22
2002-02-13,4.29,-0.11,4.3,-0.22
2002-02-14,4.25,-0.11,4.29,-0.22
2002-02-15,4.26,-0.11,4.32,-0.22
2002-02-19,4.27,-0.11,4.31,-0.22
2002-02-20,4.34,-0.11,4.36,-0.22
2002-02-21,4.33,-0.11,4.37,-0.22
2002-02-22,4.3,-0.11,4.34,-0.22
2002-02-25,4.26,-0.11,4.28,-0.22
2002-02-26,4.26,-0.11,4.3,-0.22
2002-02-27,4.32,-0.11,4.37,-0.22
2002-02-28,4.26,-0.1,4.29,-0.22
2002-03-01,4.37,-0.1,4.41,-0.2
2002-03-04,4.34,-0.1,4.42,-0.2
2002-03-05,4.39,-0.1,4.48,-0.2
2002-03-06,4.4,-0.15,4.46,-0.2
2002-03-07,4.45,-0.15,4.51,-0.2
2002-03-08,4.51,-0.15,4.57,-0.2
2002-03-11,4.5,-0.15,4.54,-0.2
2002-03-12,4.49,-0.14,4.52,-0.2
2002-03-13,4.49,-0.14,4.52,-0.2
2002-03-14,4.55,-0.14,4.57,-0.2
2002-03-15,4.59,-0.14,4.6,-0.2
2002-03-18,4.47,-0.14,4.49,-0.2
2002-03-19,4.5,-0.14,4.51,-0.2
2002-03-21,4.47,-0.13,4.45,-0.2
2002-03-22,4.53,-0.12,4.51,-0.17
2002-03-25,4.51,-0.12,4.48,-0.17
2002-03-26,4.56,-0.12,4.52,-0.17
2002-03-27,4.62,-0.11,4.58,-0.17
2002-03-28,4.66,-0.11,4.64,-0.17
2002-04-01,4.65,-0.11,4.63,-0.17
2002-04-02,4.64,-0.1,4.61,-0.17
2002-04-03,4.52,-0.1,4.49,-0.17
2002-04-04,4.49,-0.1,4.45,-0.17
2002-04-05,4.56,-0.1,4.5,-0.17
2002-04-08,4.48,-0.1,4.43,-0.17
2002-04-09,4.53,-0.09,4.42,-0.17
2002-04-10,4.52,-0.09,4.36,-0.17
2002-04-11,4.49,-0.09,4.36,-0.17
2002-04-12,4.53,-0.08,4.42,-0.17
2002-04-15,4.49,-0.08,4.37,-0.17
2002-04-16,4.56,-0.08,4.46,-0.17
2002-04-17,4.66,-0.08,4.52,-0.17
2002-04-18,4.63,-0.08,4.47,-0.17
2002-04-19,4.65,-0.07,4.5,-0.17
2002-04-22,4.64,-0.07,4.46,-0.17
2002-04-23,4.67,-0.07,4.52,-0.17
2002-04-24,4.73,-0.07,4.53,-0.17
2002-04-25,4.67,-0.07,4.46,-0.17
2002-04-26,4.61,-0.07,4.42,-0.17
2002-04-29,4.57,-0.05,4.4,-0.17
